candidate_alpha,candidate_w_load_0,candidate_w_load_1,candidate_w_load_2,candidate_threshold_0,candidate_threshold_1,candidate_threshold_2
0.15,0.7,0.8,0.1,80.0,35.0,85.0
0.65,0.7,0.5,0.1,25.0,45.0,45.0
0.65,0.8,0.7,0.8,45.0,75.0,25.0
0.1,0.4,0.5,0.8,90.0,85.0,60.0
0.15,0.7,0.9,0.9,55.0,45.0,90.0
0.85,0.9,0.6,0.5,20.0,85.0,65.0
0.25,0.4,0.4,0.2,50.0,30.0,20.0
0.55,0.1,0.9,0.1,45.0,30.0,75.0
0.5,0.2,0.9,0.6,60.0,70.0,45.0
0.5,0.7,0.6,0.4,80.0,65.0,25.0
0.7,0.8,0.4,0.3,80.0,35.0,95.0
0.35,0.8,0.4,0.7,40.0,95.0,45.0
0.05,0.7,0.5,0.9,40.0,85.0,45.0
0.95,0.7,0.4,0.9,60.0,20.0,85.0
0.95,0.5,0.7,0.9,80.0,50.0,65.0
0.7,0.1,0.7,0.6,25.0,80.0,30.0
0.15,0.9,0.2,0.3,95.0,90.0,40.0
0.6,0.8,0.4,0.1,35.0,95.0,40.0
0.3,0.9,0.8,0.4,55.0,65.0,85.0
0.6,0.2,0.8,0.4,40.0,20.0,95.0
0.75,0.9,0.8,0.4,40.0,75.0,30.0
0.95,0.1,0.4,0.6,45.0,25.0,35.0
0.75,0.3,0.9,0.9,95.0,95.0,40.0
0.3,0.8,0.8,0.2,75.0,75.0,50.0
0.45,0.8,0.8,0.1,45.0,75.0,80.0
0.25,0.7,0.9,0.1,55.0,85.0,70.0
0.2,0.2,0.1,0.2,65.0,20.0,50.0
0.55,0.5,0.4,0.4,35.0,50.0,55.0
0.4,0.2,0.7,0.5,55.0,30.0,65.0
0.8,0.9,0.4,0.4,85.0,20.0,65.0
0.3,0.3,0.5,0.3,85.0,20.0,50.0
0.05,0.1,0.5,0.5,20.0,80.0,60.0
0.95,0.9,0.5,0.4,50.0,75.0,45.0
0.85,0.9,0.3,0.5,80.0,95.0,25.0
0.6,0.1,0.6,0.1,25.0,95.0,55.0
0.1,0.4,0.4,0.9,45.0,40.0,40.0
0.8,0.6,0.5,0.9,45.0,40.0,50.0
0.7,0.5,0.6,0.8,35.0,30.0,60.0
0.15,0.7,0.4,0.6,75.0,70.0,55.0
0.7,0.1,0.4,0.6,60.0,20.0,70.0
0.05,0.1,0.9,0.9,75.0,45.0,90.0
0.75,0.5,0.2,0.7,40.0,20.0,45.0
0.2,0.9,0.9,0.1,30.0,40.0,95.0
0.2,0.8,0.7,0.2,50.0,20.0,95.0
0.85,0.8,0.7,0.4,60.0,25.0,35.0
0.55,0.4,0.5,0.9,90.0,60.0,75.0
0.25,0.3,0.4,0.2,30.0,70.0,80.0
0.05,0.2,0.9,0.4,95.0,50.0,95.0
0.8,0.4,0.6,0.7,65.0,55.0,20.0
0.7,0.7,0.3,0.6,80.0,55.0,75.0
0.8,0.4,0.1,0.6,70.0,75.0,85.0
0.2,0.4,0.8,0.9,55.0,20.0,45.0
0.85,0.6,0.3,0.8,70.0,50.0,35.0
0.95,0.9,0.4,0.6,80.0,40.0,20.0
0.7,0.6,0.3,0.1,80.0,50.0,90.0
0.95,0.2,0.8,0.9,60.0,25.0,45.0
0.4,0.7,0.9,0.4,45.0,80.0,60.0
0.95,0.1,0.7,0.8,85.0,90.0,45.0
0.95,0.1,0.7,0.9,95.0,60.0,85.0
0.25,0.3,0.9,0.1,85.0,90.0,85.0
0.95,0.6,0.6,0.7,60.0,25.0,45.0
0.35,0.4,0.5,0.4,20.0,55.0,75.0
0.15,0.6,0.6,0.6,20.0,75.0,95.0
0.95,0.1,0.5,0.1,95.0,20.0,45.0
0.8,0.7,0.6,0.3,45.0,45.0,55.0
0.9,0.8,0.7,0.5,45.0,65.0,70.0
0.95,0.7,0.9,0.5,55.0,45.0,70.0
0.4,0.8,0.2,0.7,90.0,80.0,45.0
0.1,0.3,0.6,0.6,60.0,65.0,45.0
0.2,0.5,0.7,0.5,70.0,75.0,55.0
0.25,0.4,0.5,0.3,60.0,80.0,70.0
0.5,0.8,0.4,0.1,60.0,60.0,95.0
0.75,0.1,0.8,0.8,65.0,50.0,90.0
0.25,0.7,0.1,0.1,55.0,90.0,95.0
0.95,0.3,0.8,0.6,60.0,30.0,95.0
0.75,0.5,0.1,0.6,60.0,45.0,20.0
0.8,0.1,0.2,0.1,65.0,55.0,95.0
0.95,0.9,0.1,0.4,95.0,85.0,90.0
0.05,0.7,0.6,0.1,25.0,20.0,35.0
0.7,0.4,0.4,0.7,95.0,20.0,60.0
0.9,0.6,0.1,0.9,85.0,20.0,50.0
0.85,0.3,0.4,0.1,50.0,85.0,75.0
0.35,0.8,0.3,0.4,65.0,65.0,80.0
0.6,0.9,0.4,0.2,40.0,70.0,25.0
0.2,0.6,0.5,0.7,95.0,55.0,45.0
0.65,0.4,0.1,0.2,30.0,60.0,95.0
0.75,0.1,0.3,0.1,20.0,75.0,40.0
0.15,0.5,0.8,0.1,70.0,20.0,45.0
0.85,0.1,0.6,0.8,85.0,45.0,50.0
0.7,0.1,0.7,0.2,85.0,30.0,60.0
0.05,0.7,0.2,0.7,25.0,55.0,25.0
0.05,0.9,0.8,0.6,60.0,90.0,70.0
0.35,0.4,0.9,0.1,65.0,65.0,80.0
0.35,0.9,0.4,0.3,70.0,20.0,20.0
0.95,0.5,0.4,0.1,95.0,20.0,85.0
0.05,0.7,0.9,0.7,45.0,60.0,20.0
0.25,0.3,0.7,0.3,65.0,25.0,75.0
0.25,0.4,0.8,0.1,35.0,90.0,35.0
0.65,0.1,0.1,0.9,90.0,30.0,95.0
0.15,0.1,0.7,0.8,95.0,55.0,70.0
0.45,0.3,0.2,0.5,60.0,80.0,25.0
0.9,0.3,0.6,0.8,55.0,70.0,90.0
0.7,0.4,0.2,0.8,20.0,75.0,90.0
0.6,0.5,0.3,0.8,40.0,55.0,80.0
0.8,0.8,0.6,0.6,90.0,75.0,60.0
0.4,0.6,0.6,0.8,35.0,20.0,35.0
0.6,0.7,0.6,0.5,30.0,70.0,25.0
0.5,0.1,0.6,0.5,90.0,45.0,75.0
0.8,0.3,0.1,0.9,45.0,80.0,35.0
0.25,0.6,0.6,0.1,35.0,35.0,80.0
0.7,0.2,0.3,0.8,80.0,30.0,55.0
0.15,0.8,0.7,0.7,90.0,70.0,80.0
0.35,0.8,0.4,0.4,20.0,30.0,30.0
0.4,0.7,0.6,0.3,50.0,25.0,65.0
0.5,0.2,0.7,0.3,80.0,55.0,45.0
0.5,0.6,0.4,0.5,35.0,25.0,75.0
0.65,0.7,0.3,0.2,20.0,95.0,65.0
0.55,0.9,0.5,0.4,20.0,95.0,45.0
0.65,0.7,0.1,0.1,60.0,70.0,35.0
0.65,0.8,0.3,0.2,80.0,30.0,35.0
0.55,0.9,0.2,0.1,70.0,20.0,45.0
0.75,0.6,0.3,0.2,50.0,20.0,65.0
0.9,0.2,0.1,0.7,95.0,40.0,50.0
0.3,0.5,0.5,0.2,65.0,95.0,30.0
0.95,0.7,0.4,0.8,80.0,65.0,85.0
0.8,0.7,0.5,0.3,80.0,80.0,70.0
0.05,0.2,0.2,0.3,60.0,75.0,95.0
0.05,0.7,0.2,0.9,50.0,90.0,80.0
0.3,0.1,0.5,0.4,30.0,35.0,30.0
0.05,0.1,0.2,0.8,90.0,65.0,60.0
0.75,0.2,0.3,0.4,35.0,50.0,65.0
0.3,0.7,0.8,0.1,35.0,55.0,20.0
0.9,0.6,0.8,0.4,20.0,80.0,70.0
0.95,0.4,0.9,0.1,20.0,90.0,60.0
0.2,0.1,0.9,0.2,85.0,75.0,60.0
0.95,0.2,0.8,0.5,40.0,50.0,80.0
0.4,0.2,0.1,0.6,95.0,95.0,35.0
0.3,0.2,0.3,0.5,85.0,95.0,55.0
0.8,0.6,0.9,0.7,20.0,60.0,95.0
